Feature, Feature Value,Fisher Test p-value, Feature Selection (thereshold = 0.0025),Rank of Statistic Significancy, Rank of Feature Selection, Frequency in Reference , Frequency in Targeting 
Motif,3_--,0.04117723434121743,0.009082166790722985,13.89,37,0.00%,16.67%,
Motif,3_---,0.04117723434121743,0.012572088618545734,14.89,26,0.00%,16.67%,
Motif,3_YG,0.3483953817750008,0.007455986323903714,,48,4.44%,11.11%,
Motif,3_YY,1.0,0.0014615560729768454,,,5.05%,0.00%,
Motif,4_--,0.00047480112527364097,0.023893359808700786,2.11,9,0.00%,33.33%,
Motif,4_--A,0.0335181803690227,0.012119168245906788,14.72,29,0.00%,16.67%,
Motif,4_SV,1.0,0.0006325081943948535,,,2.02%,0.00%,
Motif,4_SVT,1.0,8.176434481927022e-05,,,1.82%,0.00%,
Motif,4_YD,1.0,0.0007853215565798593,,,3.23%,0.00%,
Motif,4_YY,1.0,0.00029866885827367775,,,2.83%,0.00%,
Motif,5_-A,0.0335181803690227,0.009605446133596006,15.72,34,0.00%,16.67%,
Motif,5_-L,0.13494353682620847,0.010805102771108821,,32,0.00%,11.11%,
Motif,5_FD,0.35981916696720767,0.006510451234457863,,58,4.65%,11.11%,
Motif,5_YY,0.5846006835200795,0.006919321237519273,,54,3.84%,5.56%,
Motif,6_AW,0.37506123698714006,0.004029158523279244,,72,0.00%,5.56%,
Motif,6_AWF,0.37506123698714006,0.003643123472356959,,74,0.00%,5.56%,
Motif,6_YA,1.0,0.0019128115096447322,,,4.04%,0.00%,
Motif,6_YD,1.0,0.0003985270928389131,,,2.42%,0.00%,
Motif,6_YF,1.0,0.0006834690645464631,,,3.03%,0.00%,
Motif,6_YY,1.0,0.0005860183275775569,,,2.42%,0.00%,
Motif,7_FD,1.0,0.0008299826302746866,,,4.44%,0.00%,
Motif,7_MD,0.6190967895929468,0.005715586394545319,,60,4.04%,5.56%,
Motif,7_WF,0.37506123698714006,0.004476157306020499,,68,0.00%,5.56%,
Motif,7_WFA,0.37506123698714006,0.0033402428196025145,,77,0.00%,5.56%,
Motif,8_FA,0.48084200857317816,0.0016933674602985407,,,1.62%,5.56%,
Motif,8_MD,1.0,0.0006581813201141314,,,3.23%,0.00%,
Motif,8_RG,0.40509651680361203,0.008754537670045238,,38,0.81%,5.56%,
Motif,8_SA,1.0,0.00022143472722557743,,,2.22%,0.00%,
Motif,8_YF,1.0,0.00010796618100592825,,,2.63%,0.00%,
Motif,8_YY,1.0,0.00013032996871824092,,,2.63%,0.00%,
Motif,9_AM,1.0,0.0003605254061485657,,,2.63%,0.00%,
Motif,9_AMD,1.0,0.00016093105869565596,,,2.63%,0.00%,
Motif,9_FD,1.0,0.0002092778980734663,,,3.23%,0.00%,
Motif,9_WF,0.343631810329857,0.0051271273768690425,,64,0.00%,5.56%,
Motif,9_WFA,0.343631810329857,0.006948114210169246,,53,0.00%,5.56%,
Motif,9_YY,1.0,0.00012932971569793245,,,1.82%,0.00%,
